dataset_index,true_label,true_label_name,pred_label,pred_label_name,confidence,margin,correct,confidence_group,confidence_rank_within_class,confidence_percentile_within_class
2570,0,LABEL_0,0,LABEL_0,0.5099753141403198,0.1450124979019165,True,low,0,0.0
9857,0,LABEL_0,0,LABEL_0,0.5523247718811035,0.138545423746109,True,low,1,0.0010183299389002036
3475,0,LABEL_0,0,LABEL_0,0.6405318975448608,0.3019804060459137,True,low,2,0.002036659877800407
6933,0,LABEL_0,0,LABEL_0,0.6534497737884521,0.5527585744857788,True,low,3,0.003054989816700611
3299,0,LABEL_0,0,LABEL_0,0.6837628483772278,0.38536742329597473,True,low,4,0.004073319755600814
6970,0,LABEL_0,0,LABEL_0,0.6897655129432678,0.45449286699295044,True,low,5,0.0050916496945010185
3490,0,LABEL_0,0,LABEL_0,0.6967626214027405,0.4139789342880249,True,low,6,0.006109979633401222
4909,0,LABEL_0,0,LABEL_0,0.7465572357177734,0.5216168165206909,True,low,7,0.007128309572301426
2473,0,LABEL_0,0,LABEL_0,0.7524793744087219,0.5607844591140747,True,low,8,0.008146639511201629
6884,0,LABEL_0,0,LABEL_0,0.7749840021133423,0.6269510388374329,True,low,9,0.009164969450101833
2783,0,LABEL_0,0,LABEL_0,0.782213032245636,0.5805992484092712,True,low,10,0.010183299389002037
6146,0,LABEL_0,0,LABEL_0,0.8665626645088196,0.7759093046188354,True,low,11,0.01120162932790224
169,0,LABEL_0,0,LABEL_0,0.8791376352310181,0.771599292755127,True,low,12,0.012219959266802444
2248,0,LABEL_0,0,LABEL_0,0.894405722618103,0.8015276193618774,True,low,13,0.013238289205702648
8529,0,LABEL_0,0,LABEL_0,0.8963505625724792,0.8076938390731812,True,low,14,0.014256619144602852
447,0,LABEL_0,0,LABEL_0,0.9041441679000854,0.8211020231246948,True,low,15,0.015274949083503055
5806,0,LABEL_0,0,LABEL_0,0.9164237976074219,0.8449814319610596,True,low,16,0.016293279022403257
3278,0,LABEL_0,0,LABEL_0,0.9303894639015198,0.8727774024009705,True,low,17,0.017311608961303463
269,0,LABEL_0,0,LABEL_0,0.9381133913993835,0.9240536689758301,True,low,18,0.018329938900203666
2232,0,LABEL_0,0,LABEL_0,0.9392876625061035,0.9085864424705505,True,low,19,0.019348268839103868
531,0,LABEL_0,0,LABEL_0,0.9396182298660278,0.9007443189620972,True,low,20,0.020366598778004074
3158,0,LABEL_0,0,LABEL_0,0.9398751258850098,0.889868438243866,True,low,21,0.021384928716904276
6812,0,LABEL_0,0,LABEL_0,0.9410160183906555,0.9086997509002686,True,low,22,0.02240325865580448
3631,0,LABEL_0,0,LABEL_0,0.9476588368415833,0.9259971976280212,True,low,23,0.023421588594704685
3335,0,LABEL_0,0,LABEL_0,0.9491151571273804,0.9165611267089844,True,low,24,0.024439918533604887
8471,0,LABEL_0,0,LABEL_0,0.9571948647499084,0.9274130463600159,True,low,25,0.025458248472505093
6549,0,LABEL_0,0,LABEL_0,0.9598163962364197,0.9323002696037292,True,low,26,0.026476578411405296
2594,0,LABEL_0,0,LABEL_0,0.9690012335777283,0.9496855735778809,True,low,27,0.0274949083503055
4861,0,LABEL_0,0,LABEL_0,0.9702060222625732,0.9525258541107178,True,low,28,0.028513238289205704
7246,0,LABEL_0,0,LABEL_0,0.9703994393348694,0.949948787689209,True,low,29,0.029531568228105907
9528,0,LABEL_0,0,LABEL_0,0.9742610454559326,0.9644008874893188,True,low,30,0.03054989816700611
642,0,LABEL_0,0,LABEL_0,0.9756247401237488,0.9599281549453735,True,low,31,0.031568228105906315
5013,0,LABEL_0,0,LABEL_0,0.976974606513977,0.9687825441360474,True,low,32,0.032586558044806514
841,0,LABEL_0,0,LABEL_0,0.9770832061767578,0.9658460021018982,True,low,33,0.03360488798370672
8977,0,LABEL_0,0,LABEL_0,0.9784684777259827,0.9657074809074402,True,low,34,0.034623217922606926
284,0,LABEL_0,0,LABEL_0,0.9797675609588623,0.9670872688293457,True,low,35,0.035641547861507125
3342,0,LABEL_0,0,LABEL_0,0.9807090759277344,0.9696810245513916,True,low,36,0.03665987780040733
2704,0,LABEL_0,0,LABEL_0,0.981532633304596,0.9728643298149109,True,low,37,0.03767820773930754
4586,0,LABEL_0,0,LABEL_0,0.981715202331543,0.9785313010215759,True,low,38,0.038696537678207736
4180,0,LABEL_0,0,LABEL_0,0.9822356700897217,0.9713473320007324,True,low,39,0.03971486761710794
2136,0,LABEL_0,0,LABEL_0,0.9825376868247986,0.9787641763687134,True,low,40,0.04073319755600815
956,0,LABEL_0,0,LABEL_0,0.9825426340103149,0.9764740467071533,True,low,41,0.04175152749490835
5280,0,LABEL_0,0,LABEL_0,0.9834233522415161,0.9761284589767456,True,low,42,0.04276985743380855
8008,0,LABEL_0,0,LABEL_0,0.9836633205413818,0.9747555255889893,True,low,43,0.04378818737270876
6015,0,LABEL_0,0,LABEL_0,0.984776496887207,0.9763417840003967,True,low,44,0.04480651731160896
3765,0,LABEL_0,0,LABEL_0,0.9851441383361816,0.9766192436218262,True,low,45,0.045824847250509164
8476,0,LABEL_0,0,LABEL_0,0.9852932095527649,0.9824360013008118,True,low,46,0.04684317718940937
8825,0,LABEL_0,0,LABEL_0,0.9853476285934448,0.9817273020744324,True,low,47,0.04786150712830957
489,0,LABEL_0,0,LABEL_0,0.9854031801223755,0.9808905124664307,True,low,48,0.048879837067209775
2668,0,LABEL_0,0,LABEL_0,0.9855512380599976,0.9786735773086548,True,low,49,0.04989816700610998
2379,0,LABEL_0,0,LABEL_0,0.9860636591911316,0.9779309630393982,True,low,50,0.05091649694501019
3429,0,LABEL_0,0,LABEL_0,0.9862033128738403,0.9794566035270691,True,low,51,0.051934826883910386
2324,0,LABEL_0,0,LABEL_0,0.9864826798439026,0.9838521480560303,True,low,52,0.05295315682281059
8925,0,LABEL_0,0,LABEL_0,0.986781656742096,0.9792358875274658,True,low,53,0.0539714867617108
6748,0,LABEL_0,0,LABEL_0,0.9871882200241089,0.9830175638198853,True,low,54,0.054989816700611
74,0,LABEL_0,0,LABEL_0,0.9872440695762634,0.9815462231636047,True,low,55,0.0560081466395112
5354,0,LABEL_0,0,LABEL_0,0.9878214001655579,0.9841589331626892,True,low,56,0.05702647657841141
9483,0,LABEL_0,0,LABEL_0,0.9881179928779602,0.9820368885993958,True,low,57,0.05804480651731161
2968,0,LABEL_0,0,LABEL_0,0.9882196187973022,0.9819421768188477,True,low,58,0.059063136456211814
7869,0,LABEL_0,0,LABEL_0,0.9886034727096558,0.9841424822807312,True,low,59,0.06008146639511202
8960,0,LABEL_0,0,LABEL_0,0.9889287352561951,0.9835939407348633,True,low,60,0.06109979633401222
689,0,LABEL_0,0,LABEL_0,0.9889294505119324,0.9858801960945129,True,low,61,0.062118126272912425
6588,0,LABEL_0,0,LABEL_0,0.9889494180679321,0.9843030571937561,True,low,62,0.06313645621181263
7689,0,LABEL_0,0,LABEL_0,0.9894296526908875,0.9849786758422852,True,low,63,0.06415478615071284
5787,0,LABEL_0,0,LABEL_0,0.9896261692047119,0.9878616333007812,True,low,64,0.06517311608961303
5077,0,LABEL_0,0,LABEL_0,0.9896732568740845,0.9862160682678223,True,low,65,0.06619144602851323
4686,0,LABEL_0,0,LABEL_0,0.9899120926856995,0.9856790900230408,True,low,66,0.06720977596741344
378,0,LABEL_0,0,LABEL_0,0.9899368286132812,0.9866548776626587,True,low,67,0.06822810590631365
1714,0,LABEL_0,0,LABEL_0,0.9899390339851379,0.9878998398780823,True,low,68,0.06924643584521385
264,0,LABEL_0,0,LABEL_0,0.9901294112205505,0.9856249094009399,True,low,69,0.07026476578411406
3100,0,LABEL_0,0,LABEL_0,0.9901944994926453,0.9882091283798218,True,low,70,0.07128309572301425
4922,0,LABEL_0,0,LABEL_0,0.9902743697166443,0.988932728767395,True,low,71,0.07230142566191446
6394,0,LABEL_0,0,LABEL_0,0.9903355836868286,0.986767590045929,True,low,72,0.07331975560081466
1090,0,LABEL_0,0,LABEL_0,0.9903777837753296,0.9868194460868835,True,low,73,0.07433808553971487
1137,0,LABEL_0,0,LABEL_0,0.9904772043228149,0.9886566400527954,True,low,74,0.07535641547861507
97,0,LABEL_0,0,LABEL_0,0.9905286431312561,0.9870935082435608,True,low,75,0.07637474541751528
1932,0,LABEL_0,0,LABEL_0,0.9906446933746338,0.9884451627731323,True,low,76,0.07739307535641547
1322,0,LABEL_0,0,LABEL_0,0.9906629323959351,0.9873533844947815,True,low,77,0.07841140529531568
7356,0,LABEL_0,0,LABEL_0,0.9907842874526978,0.9870945811271667,True,low,78,0.07942973523421588
675,0,LABEL_0,0,LABEL_0,0.9908058047294617,0.9892518520355225,True,low,79,0.08044806517311609
6349,0,LABEL_0,0,LABEL_0,0.9909055233001709,0.9873525500297546,True,low,80,0.0814663951120163
4548,0,LABEL_0,0,LABEL_0,0.9909580945968628,0.9886664748191833,True,low,81,0.0824847250509165
1210,0,LABEL_0,0,LABEL_0,0.9910537600517273,0.98816978931427,True,low,82,0.0835030549898167
7465,0,LABEL_0,0,LABEL_0,0.9910673499107361,0.9871168732643127,True,low,83,0.0845213849287169
9065,0,LABEL_0,0,LABEL_0,0.9910768270492554,0.9887751936912537,True,low,84,0.0855397148676171
1651,0,LABEL_0,0,LABEL_0,0.9911239147186279,0.9878682494163513,True,low,85,0.08655804480651731
237,0,LABEL_0,0,LABEL_0,0.9912270903587341,0.9880350828170776,True,low,86,0.08757637474541752
3171,0,LABEL_0,0,LABEL_0,0.9913346171379089,0.9890130758285522,True,low,87,0.08859470468431772
8993,0,LABEL_0,0,LABEL_0,0.9913589954376221,0.9895055294036865,True,low,88,0.08961303462321792
9235,0,LABEL_0,0,LABEL_0,0.9913721084594727,0.9889463782310486,True,low,89,0.09063136456211812
7929,0,LABEL_0,0,LABEL_0,0.9913902282714844,0.9880768060684204,True,low,90,0.09164969450101833
